model,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6
Ames_TP1,0.45414,0.18165,0.0268,0.00839,0.00514,0.00266,0.01434,0.00367,0.00607,0.00197,0.0,0.00247,0.35051,0.14344,0.03747,0.01484,0.00646,0.01877
Ames_TP2,0.30412,0.38399,0.12341,0.04873,0.01021,0.00381,0.0111,0.0019,0.00416,0.00217,0.00011,0.01336,0.20386,0.05115,0.03237,0.0222,0.00827,0.02369
Ames_TP3,0.1962,0.20434,0.53912,0.12191,0.01541,0.00063,0.0072,0.00361,0.00018,0.00447,0.00025,0.0123,0.03587,0.00526,0.00338,0.00536,9e-05,0.01664
Ames_TP4,0.12458,0.152,0.11724,0.38445,0.03404,0.00101,0.00547,0.00415,1e-05,0.01049,0.00159,0.00854,0.0023,1e-05,0.01575,0.00284,0.01755,0.00104
Ames_TP5,0.07351,0.06901,0.03501,0.07635,0.29108,0.01118,0.0101,0.01117,0.00141,0.00567,0.00118,0.00465,0.00973,3e-05,0.01121,8e-05,0.00761,0.00233
Ames_TP6,0.04832,0.03026,0.00668,0.00266,0.02212,0.31531,0.00349,0.00079,0.00271,0.01214,0.00088,0.00334,0.00635,0.00644,0.0003,2e-05,0.00013,0.00538
Crawfordsville_TP1,0.16525,0.07706,0.00585,0.01651,0.01283,0.00241,0.3135,0.02711,0.00743,0.01665,0.00649,0.00154,0.09947,0.02108,0.0013,0.00024,0.02087,0.00125
Crawfordsville_TP2,0.08878,0.03431,0.00168,0.01202,0.01184,0.00085,0.02478,0.25302,0.00746,0.01025,0.00622,0.00253,0.0231,0.009,0.00647,0.00286,0.03966,0.0009
Crawfordsville_TP3,0.10286,0.06281,0.00655,4e-05,0.00017,0.00132,0.0075,0.00999,0.28763,0.0025,0.00021,0.00027,0.25617,0.08451,0.08315,0.03469,0.05296,0.01335
Crawfordsville_TP4,0.02051,0.01142,0.01473,0.02533,0.00765,0.00578,0.00028,0.00096,0.0009,0.24489,0.00826,0.00697,0.01239,0.0091,3e-05,0.00357,0.00961,0.0
Crawfordsville_TP5,0.01882,0.00247,0.00815,0.00751,0.00415,0.00057,0.00471,0.01034,0.00129,0.01795,0.3804,0.00496,0.01663,0.00231,0.07949,0.00163,0.00964,4e-05
Crawfordsville_TP6,0.1088,0.09799,0.03767,0.02299,0.00723,0.00145,0.00435,0.00466,0.00212,0.01127,0.00324,0.24179,0.02937,0.02873,0.00703,0.00388,0.00046,0.02417
Movalley_TP1,0.20392,0.05057,0.00011,0.00019,0.00191,0.00213,0.00239,5e-05,0.01098,0.00162,0.00351,0.0033,0.61365,0.2311,0.14779,0.03953,0.02976,0.01519
Movalley_TP2,0.15873,0.03141,0.00042,1e-05,0.00159,0.00099,0.00117,0.00036,0.00393,0.00235,0.00215,0.00348,0.41868,0.38017,0.12869,0.04629,0.04814,2e-05
Movalley_TP3,0.08378,0.01877,0.00054,0.00061,0.0,0.00094,0.00026,0.00066,0.00974,0.00376,0.00705,0.0,0.3391,0.19312,0.48463,0.07462,0.0965,0.01804
Movalley_TP4,0.02052,0.01991,0.01033,2e-05,0.00013,0.00016,0.00105,0.0001,0.00262,0.00038,0.00153,0.00324,0.14897,0.10355,0.13621,0.70364,0.21444,0.10384
Movalley_TP5,0.00722,0.00017,8e-05,0.00113,0.00196,1e-05,0.00062,2e-05,0.00037,0.00195,0.0027,0.00079,0.1096,0.13867,0.13518,0.15712,0.70796,0.01066
Movalley_TP6,0.19836,0.12052,0.0168,0.00583,0.0013,0.00269,0.00192,0.00051,0.00664,0.00054,0.00023,0.00886,0.26333,0.09401,0.09078,0.05715,0.03946,0.26076
