model,Ames_TP1,Ames_TP2,Ames_TP3,Ames_TP4,Ames_TP5,Ames_TP6,Crawfordsville_TP1,Crawfordsville_TP2,Crawfordsville_TP3,Crawfordsville_TP4,Crawfordsville_TP5,Crawfordsville_TP6,Lincoln_TP1,Lincoln_TP2,Lincoln_TP3,Lincoln_TP4,Lincoln_TP5,Lincoln_TP6,Movalley_TP1,Movalley_TP2,Movalley_TP3,Movalley_TP4,Movalley_TP5,Movalley_TP6,Scottsbluff_TP1,Scottsbluff_TP2,Scottsbluff_TP3,Scottsbluff_TP4,Scottsbluff_TP5,Scottsbluff_TP6
Ames_TP1,0.36108,0.18122,0.27699,0.11233,0.03855,0.00527,0.06292,0.06878,0.07168,0.00255,0.00697,0.06177,0.19362,0.12946,0.12493,0.15613,0.01413,0.0163,0.02545,0.09815,0.13198,0.01499,0.01176,0.00066,0.00154,0.01419,0.0207,0.02984,0.04361,0.07907
Ames_TP2,0.04825,0.35816,0.2931,0.19365,0.08952,0.00504,0.11766,0.11397,0.14479,0.00021,0.00415,0.0605,0.22112,0.1663,0.11569,0.15787,0.03123,0.027,0.08449,0.18251,0.24341,0.08836,0.06231,0.00036,0.00569,0.01525,0.04815,0.08314,0.10835,0.14707
Ames_TP3,0.02681,0.15255,0.45202,0.23879,0.09621,0.0007,0.09385,0.11065,0.16603,0.02497,0.0089,0.0557,0.27622,0.26302,0.13982,0.22672,0.16482,0.15423,0.08952,0.17838,0.35209,0.17093,0.10445,0.00036,0.00168,0.00505,0.04464,0.07432,0.08167,0.14178
Ames_TP4,0.00314,0.07761,0.27474,0.6034,0.18978,0.00033,0.09688,0.08757,0.15978,0.11334,0.00944,0.02916,0.18253,0.22905,0.00205,0.03125,0.11452,0.11638,0.07151,0.11128,0.36522,0.185,0.09058,0.04245,0.00793,0.00013,0.03151,0.05606,0.08625,0.11021
Ames_TP5,0.00697,0.09694,0.20868,0.34951,0.37047,0.00533,0.10835,0.09648,0.13636,0.11027,0.00522,0.00064,0.17499,0.16852,0.00671,0.04469,0.0857,0.09049,0.07765,0.14232,0.34091,0.1722,0.10791,0.0256,0.01624,0.00233,0.05171,0.08572,0.11122,0.12698
Ames_TP6,0.00853,0.00117,0.00017,0.00565,0.02908,0.35329,0.00245,0.01335,0.0087,0,0,0.00127,0.03852,0.0528,0.01433,0.02627,0.00375,0.00086,0.00376,0.00004,0.00089,0.01097,0.00027,0.01009,0.00157,0.00367,0.01715,0.01601,0.00108,0.01272
Crawfordsville_TP1,0.01347,0.13787,0.22841,0.21405,0.09517,0.00108,0.56328,0.13772,0.15936,0.00876,0.00218,0.03021,0.19527,0.10067,0.08989,0.08189,0.00165,0.00117,0.09658,0.19966,0.25823,0.00528,0.01682,0.00209,0.01163,0.04498,0.12507,0.16417,0.19268,0.2053
Crawfordsville_TP2,0.0131,0.14586,0.26386,0.21496,0.08843,0.00135,0.16394,0.63725,0.17255,0.02634,0.00312,0.01444,0.26589,0.23417,0.10707,0.14871,0.09119,0.07554,0.17003,0.22753,0.36053,0.20771,0.06215,0.00376,0.00769,0.02162,0.10794,0.15309,0.18564,0.16949
Crawfordsville_TP3,0.01491,0.14983,0.30463,0.26616,0.11789,0.00586,0.13064,0.14143,0.39821,0.03187,0.00021,0.0066,0.26938,0.24445,0.11326,0.18122,0.15754,0.13356,0.14829,0.23119,0.40435,0.20734,0.08136,0.00066,0.00265,0.0075,0.0653,0.09928,0.13847,0.1765
Crawfordsville_TP4,0.00099,0.0213,0.0752,0.23068,0.15485,0.00134,0.05894,0.04765,0.03504,0.52501,0.04534,0.00495,0.08002,0.11114,0.00079,0.01596,0.05769,0.06357,0.0191,0.04882,0.20421,0.08842,0.05069,0.06597,0.05439,0.00736,0.06943,0.05957,0.09503,0.0407
Crawfordsville_TP5,0.00087,0.00047,0.0151,0,0.00108,0.00051,0.00744,0.00002,0.00506,0.06011,0.43109,0.02278,0.00097,0.00973,0.03695,0.04754,0.00025,0.00459,0.00108,0.00036,0.00237,0.00456,0.00053,0.05014,0.00838,0.03364,0.06496,0.04097,0.06433,0.01268
Crawfordsville_TP6,0.00709,0.00749,0.01052,0.04426,0.02719,0.00385,0.01562,0.00003,0.00004,0.04094,0.02357,0.35713,0.01331,0.01457,0.11999,0.05303,0.02881,0.05093,0.0064,0.00266,0.04433,0.0532,0.01997,0.04649,0.0004,0.02964,0.00019,0.00002,0.00135,0.00002
Lincoln_TP1,0.02068,0.11095,0.24693,0.14186,0.02929,0.02556,0.09314,0.10625,0.13904,0.00474,0.00157,0.02513,0.60591,0.32096,0.14121,0.21017,0.09607,0.09823,0.12889,0.16007,0.32854,0.0966,0.03578,0.00024,0.00401,0.02166,0.11767,0.14772,0.13965,0.16943
Lincoln_TP2,0.00733,0.06983,0.22495,0.16183,0.04496,0.00781,0.03981,0.07066,0.10679,0.03753,0.00028,0.01832,0.29686,0.56508,0.11672,0.22676,0.19556,0.20789,0.09175,0.14052,0.3197,0.13526,0.0753,0.0001,0.00447,0.00417,0.03448,0.06101,0.03052,0.08914
Lincoln_TP3,0.00895,0.03667,0.23975,0.02075,0,0.00079,0.04363,0.04826,0.06051,0.05027,0.03698,0.10685,0.13095,0.17652,0.56764,0.34578,0.05866,0.05991,0.06019,0.08691,0.14964,0.00242,0.00498,0.06812,0.00029,0.01524,0.01251,0.00577,0.00423,0.04698
Lincoln_TP4,0.00624,0.02998,0.23617,0.04864,0.023,0.00449,0.01701,0.02469,0.05603,0.00595,0.04483,0.10157,0.17288,0.2382,0.26007,0.62562,0.31418,0.27967,0.02192,0.1039,0.15561,0.04846,0.01865,0.07935,0,0.00348,0.00001,0.00221,0.0168,0.01779
Lincoln_TP5,0.00197,0.00012,0.10445,0.04089,0.01945,0.0093,0.00068,0.00259,0.03431,0.02131,0.03377,0.04684,0.14597,0.19601,0.16338,0.33444,0.62358,0.43527,0.01973,0.03334,0.20554,0.13803,0.04057,0.05479,0.00111,0.0118,0.01439,0.02553,0.0715,0.00014
Lincoln_TP6,0.00015,0,0.08494,0.03826,0.0238,0.00435,0.00465,0.00223,0.02701,0.02457,0.03358,0.01467,0.1282,0.17457,0.11192,0.27456,0.40949,0.72564,0.0303,0.02907,0.17922,0.15899,0.05732,0.05732,0.00094,0.01731,0.01408,0.02858,0.07275,0.00066
Movalley_TP1,0.00008,0.05524,0.15555,0.14969,0.05182,0.00608,0.06092,0.11343,0.14122,0.0027,0.00335,0.00635,0.23705,0.25486,0.13298,0.14484,0.12877,0.14323,0.65223,0.17387,0.34845,0.21584,0.05383,0.00187,0.00881,0.00241,0.05249,0.08081,0.09294,0.12386
Movalley_TP2,0.00726,0.1069,0.23154,0.21369,0.09262,0.00297,0.12249,0.14001,0.16743,0.06604,0.00288,0.0183,0.2867,0.27214,0.09059,0.16189,0.15737,0.1283,0.13203,0.31733,0.43661,0.20715,0.13194,0.00476,0.00896,0.00813,0.08955,0.15288,0.15335,0.17357
Movalley_TP3,0.0022,0.07646,0.22162,0.25292,0.10596,0.00254,0.12056,0.13874,0.16117,0.09716,0.02857,0.00009,0.2516,0.26938,0.06679,0.12646,0.19332,0.18905,0.14869,0.18956,0.73052,0.22204,0.07634,0.01865,0.01056,0.00575,0.07598,0.105,0.14892,0.13867
Movalley_TP4,0.00226,0.05289,0.20888,0.24285,0.09411,0.00444,0.02621,0.06784,0.11135,0.05639,0.00704,0.00595,0.19971,0.23823,0.04787,0.1116,0.20913,0.23118,0.10799,0.10858,0.38184,0.43684,0.14537,0.01522,0.00741,0.00282,0.00836,0.0236,0.01976,0.08201
Movalley_TP5,0.00557,0.07788,0.22891,0.24,0.10108,0.00049,0.05286,0.07235,0.10572,0.06198,0.00076,0.02157,0.20876,0.23554,0.05669,0.11431,0.15935,0.16463,0.08654,0.13265,0.3534,0.20922,0.31229,0.02629,0.00858,0,0.01257,0.0366,0.03168,0.09355
Movalley_TP6,0.00064,0.01813,0.01829,0.1337,0.07661,0.00626,0.01369,0.00297,0.00034,0.08576,0.03611,0.05492,0.0338,0.00931,0.12256,0.08958,0.0007,0.00541,0.007,0.00087,0.05861,0.0658,0.06726,0.48775,0.04019,0.00001,0.01409,0.0268,0.04731,0.02808
Scottsbluff_TP1,0.00394,0.04267,0.02695,0.11103,0.08503,0.00742,0.05634,0.03695,0.02527,0.04493,0.01986,0.0001,0.05638,0.04075,0.00024,0.00492,0.01146,0.01454,0.03261,0.04805,0.14244,0.03306,0.06273,0.07445,0.32459,0.0283,0.06986,0.11128,0.11072,0.05745
Scottsbluff_TP2,0.00639,0.05156,0.05741,0.01335,0.00051,0.00184,0.10512,0.05308,0.03365,0.00008,0.00205,0.04222,0.06796,0.02446,0.04755,0.01589,0.05894,0.07917,0.00426,0.05167,0.01845,0.06978,0.00745,0,0.01341,0.31687,0.1402,0.1319,0.15993,0.10968
Scottsbluff_TP3,0.00196,0.0448,0.13165,0.09357,0.01893,0.01275,0.13734,0.10228,0.08868,0.00857,0.03019,0.01458,0.2218,0.13055,0.06597,0.04872,0.0081,0.00062,0.05971,0.07932,0.24765,0.00869,0.00001,0.00343,0.0069,0.06609,0.50748,0.23706,0.22738,0.20102
Scottsbluff_TP4,0.00105,0.05521,0.14188,0.1227,0.023,0.00022,0.12713,0.10849,0.08851,0.01285,0.00266,0.02242,0.24348,0.16634,0.09316,0.11438,0.0606,0.04564,0.09487,0.11418,0.23051,0.07914,0.00632,0.0004,0.00824,0.0225,0.18292,0.69241,0.26157,0.2074
Scottsbluff_TP5,0.00248,0.06303,0.17799,0.14565,0.02251,0.00634,0.15102,0.09937,0.09035,0.00993,0.02255,0.0027,0.20133,0.09182,0.02567,0.0065,0.00079,0.00174,0.07461,0.10322,0.19068,0.04204,0.00079,0.00314,0.01431,0.04907,0.18583,0.2458,0.69535,0.21943
Scottsbluff_TP6,0.00335,0.09509,0.20235,0.19595,0.06817,0.0003,0.14641,0.11943,0.14906,0.00036,0.00749,0.02071,0.24018,0.10627,0.06649,0.02833,0.01077,0.00048,0.13507,0.169,0.28419,0.07297,0.0125,0.00442,0.00308,0.02428,0.1546,0.21884,0.24035,0.66909
