model,image,r2_mean,count,sd,r2_se
GB,Satellite,0.18922008202989843,150,0.14242037807910213,0.011628575175602096
GB,UAV,0.19263772102751617,75,0.14572255735272135,0.016826591542918868
LASSO,Satellite,0.17788502817826798,61,0.1392726013977961,0.0178320293431117
LASSO,UAV,0.2601171524811272,72,0.1644828840454795,0.019384493782946526
LR,Satellite,0.07550705197768232,150,0.09039212325844977,0.007380485958332182
LR,UAV,0.16885371353268372,75,0.1593082191081273,0.018395328637239437
PLSR,Satellite,0.1858292355308937,150,0.15928247503374468,0.013005359626675842
PLSR,UAV,0.22478743949989466,75,0.1563196591525905,0.018050239458275733
RF,Satellite,0.21914187579325775,150,0.1543311812445251,0.012601088181669195
RF,UAV,0.21936061626167364,75,0.1556551791193622,0.017973511913064632
SVM,Satellite,0.19302005324445196,150,0.14305398653332232,0.011680309089253865
SVM,UAV,0.18826519476758732,75,0.1466588076464687,0.016934700414743646
